Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
Nick Snyder,TEX,2.1,6,0,3.85714286,0,0,0,0.16666667,-0.16666667,0,0.42857143,0,1,4.455748412,5.211903608,23493
Aaron Ashby,MIL,3.1,20,18.90000002,8.10000001,2.33333333,0,0.35,0.15,0.2,0.375,2.7,0.66666667,0.8,2.570034122,3.09934276,23550
Brett de Geus,2 Tms,16,91,8.4375,6.1875,1.36363636,2.25,0.16483516,0.12087912,0.04395604,0.37662338,2.5,0.42372881,0.54945055,6.982534122,5.717441515,23592
Luis Garcia,HOU,72.2,316,9.28899083,3.09633028,3,1.61009174,0.23734177,0.07911392,0.15822785,0.28222997,1.4587156,0.33830846,0.77951002,4.546180912,4.09006922,23735
Justin Bruihl,LAD,12.2,43,4.26315789,1.42105263,3,0,0.13953488,0.04651163,0.09302325,0.15,0.63157895,0.17647059,0.77777778,2.933192012,4.883276472,23779
Ryan Weathers,SDP,29.1,124,6.44318182,1.53409091,4.2,1.22727273,0.16935484,0.04032258,0.12903226,0.29059829,1.32954545,0.32258065,0.72674419,4.124579572,4.396908406,23796
Randy Dobnak,MIN,22,104,3.68181818,2.04545455,1.8,2.45454545,0.08653846,0.04807692,0.03846154,0.32653061,1.68181818,0.31325301,0.67567568,6.715488672,5.335387641,23798
Nick Allgeyer,TOR,0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.170034122,5.816577299,24486
Josiah Gray,2 Tms,32,143,9,5.0625,1.77777778,2.53125,0.22377622,0.12587413,0.09790209,0.22131148,1.40625,0.21686747,0.5988024,6.607534122,5.597827312,24580
Jonathan Stiever,CHW,0,3,0,0,0,0,0,0,0,1,3,1,0.66666667,3.170034122,3.170034122,24584
Andrew Wantz,LAA,10,47,10.8,6.3,1.71428571,2.7,0.25531915,0.14893617,0.10638298,0.28205128,1.8,0.32,0.72463768,6.770034122,5.3401411,24933
Austin Warren,LAA,5.2,22,7.94117647,1.58823529,5,0,0.22727273,0.04545455,0.18181818,0.14285714,0.70588235,0.1875,0.25,1.934740002,4.425604183,24937
Cooper Criswell,LAA,0.2,4,0,0,0,0,0,0,0,0.5,2.99999999,0.5,0,3.170034122,3.170034122,24975
Alex Vesia,LAD,18.2,75,13.98214285,3.85714286,3.625,0.48214286,0.38666667,0.10666667,0.28,0.12307692,0.85714286,0.2,0.78313253,2.366462692,3.654941515,25007
Nick Mears,PIT,9.2,45,7.44827586,4.65517241,1.6,2.79310345,0.17777778,0.11111111,0.06666667,0.28205128,1.65517241,0.27586207,0.6779661,7.101068602,5.804389146,25376
Brady Singer,KCR,68.2,316,10.09223301,4.32524272,2.33333333,1.44174757,0.24367089,0.10443038,0.13924051,0.26838235,1.54368932,0.3315508,0.58823529,4.801102082,4.491504803,25377
Sammy Long,SFG,18,69,9.5,3.5,2.71428571,0.5,0.27536232,0.10144928,0.17391304,0.16393443,0.94444444,0.21428571,0.64102564,2.947811902,3.989951805,25379
Drew Rasmussen,2 Tms,27.2,112,8.78313253,2.27710843,3.85714286,0.3253012,0.24107143,0.0625,0.17857143,0.20192308,1.01204819,0.25974026,0.71428571,2.447142552,3.380249789,25385
Alek Manoah,TOR,54.1,234,11.26380368,4.63803681,2.42857143,1.32515337,0.29059829,0.11965812,0.17094017,0.22772277,1.36196319,0.3015873,0.76347305,4.347948232,4.057483932,26410
Kwang Hyun Kim,STL,26,103,9,4.15384615,2.16666667,0,0.25242718,0.11650485,0.13592233,0.15555556,1,0.21538462,0.84615385,2.554649502,4.251151552,27458
