Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
Dan Altavilla,SDP,0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.170034122,8.463120476,16507
Jordan Montgomery,NYY,122,521,9.66393443,3.31967213,2.91111111,1.10655738,0.25143954,0.08637236,0.16506718,0.25641026,1.35245902,0.31818182,0.72916667,3.727411172,4.023570504,16511
Dusten Knight,BAL,4.2,24,11.57142856,3.85714285,3,1.92857143,0.25,0.08333333,0.16666667,0.33333333,1.92857143,0.4,0.26315789,4.670034122,4.908940624,16537
Austin Gomber,COL,83.2,357,8.92828685,3.5498008,2.51515152,1.61354582,0.232493,0.09243697,0.14005603,0.23510972,1.29083665,0.2690583,0.71111111,4.807484322,4.416902437,16561
Erik Swanson,SEA,18.2,75,9.16071428,2.41071429,3.8,0.96428571,0.25333333,0.06666667,0.18666666,0.19117647,0.96428571,0.22916667,0.55555556,3.491462692,4.650629341,16587
Bryan Abreu,HOU,23,100,8.2173913,4.69565217,1.75,1.56521739,0.21,0.12,0.09,0.22352941,1.34782609,0.24193548,0.3030303,5.300468902,4.803961466,16609
J.P. Feyereisen,2 Tms,33.1,138,9.45,5.4,1.75,0.54,0.25362319,0.14492754,0.10869565,0.14655172,1.11,0.18518519,0.81871345,3.650034122,5.251922993,16610
Ryan Thompson,TBR,28,111,10.28571429,2.25,4.57142857,0.64285714,0.28828829,0.06306306,0.22522523,0.21359223,1.03571429,0.28985507,0.77205882,2.670034122,3.127747222,16647
Julian Merryweather,TOR,8.2,36,8.3076923,2.07692308,4,1.03846154,0.22222222,0.05555556,0.16666666,0.25,1.15384615,0.29166667,0.9375,3.862341812,4.194564023,16703
Vinny Nittoli,SEA,1,5,9,9,1,9,0.2,0.2,0,0.25,2,0,0,17.17003412,7.698758376,16754
